airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q1368387,Singapore Airlines Cargo,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,SQ
http://www.wikidata.org/entity/Q483281,Tiger Airways,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,
http://www.wikidata.org/entity/Q1340376,Valuair,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,
http://www.wikidata.org/entity/Q871849,Crystal Thai Airlines,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q4924268,Jet Asia Airways,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q1332203,Kan Air,Thailand,http://www.wikidata.org/entity/Q1065082,Bandar Udara Internasional Chiang Mai,
http://www.wikidata.org/entity/Q1551450,Krabi Airline,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q7116968,P.C. Air,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q1205109,PBair,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q18171855,Siam Air,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q7640634,Sunny Airways,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q4923781,Thai Airways Company,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q4204350,Air People International,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q407779,Air Siam,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q531463,Angel Air,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
http://www.wikidata.org/entity/Q806487,Bangkok Airways,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,PG
http://www.wikidata.org/entity/Q1017549,Business Air,Thailand,http://www.wikidata.org/entity/Q194316,Bandar Udara Internasional Suvarnabhumi,
http://www.wikidata.org/entity/Q13676919,City Airways,Thailand,http://www.wikidata.org/entity/Q1046755,Bandar Udara Internasional Don Mueang,
