"airline","airlineName","countryName","hub","hubName","iataCode","description"
"http://dbpedia.org/resource/FlyJaya","FlyJaya","Indonesia",,"-","KS",
"http://dbpedia.org/resource/Garuda_Indonesia","Garuda Indonesia","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","GA",
"http://dbpedia.org/resource/Gatari_Air_Service","Gatari Air Service","Indonesia","http://dbpedia.org/resource/Sultan_Aji_Muhammad_Sulaiman_Sepinggan_Airport","Sultan Aji Muhammad Sulaiman Sepinggan Airport","-",
"http://dbpedia.org/resource/Gatari_Air_Service","Gatari Air Service","Indonesia","http://dbpedia.org/resource/Wamena_Airport","Wamena Airport","-",
"http://dbpedia.org/resource/Gatari_Air_Service","Gatari Air Service","Indonesia","http://dbpedia.org/resource/Halim_Perdanakusuma_International_Airport","Halim Perdanakusuma International Airport","-",
"http://dbpedia.org/resource/Indonesia_Air_Transport","Indonesia Air Transport","Indonesia","http://dbpedia.org/resource/Halim_Perdanakusuma_International_Airport","Halim Perdanakusuma International Airport","I8",
"http://dbpedia.org/resource/Indonesia_AirAsia","Indonesia AirAsia","Indonesia",,"-","QZ",
"http://dbpedia.org/resource/Jayawijaya_Dirgantara","Jayawijaya Dirgantara","Indonesia","http://dbpedia.org/resource/Wamena_Airport","Wamena Airport","-",
"http://dbpedia.org/resource/Jayawijaya_Dirgantara","Jayawijaya Dirgantara","Indonesia","http://dbpedia.org/resource/Dortheys_Hiyo_Eluay_International_Airport","Dortheys Hiyo Eluay International Airport","-",
"http://dbpedia.org/resource/Jhonlin_Air_Transport","Jhonlin Air Transport","Indonesia","http://dbpedia.org/resource/Banjarbaru","Banjarbaru",,
"http://dbpedia.org/resource/Jhonlin_Air_Transport","Jhonlin Air Transport","Indonesia","http://dbpedia.org/resource/Syamsudin_Noor_Airport","Syamsudin Noor Airport",,
"http://dbpedia.org/resource/KLM_Interinsulair_Bedrijf","KLM Interinsulair Bedrijf","Indonesia",,"-",,
"http://dbpedia.org/resource/Kalimantan_Air_Service","Kalimantan Air Service","Indonesia",,"-","n/a",
"http://dbpedia.org/resource/Lion_Air","Lion Air","Indonesia",,"-","JT",
"http://dbpedia.org/resource/Mission_Aviation_Fellowship","Mission Aviation Fellowship","Indonesia",,"-",,
"http://dbpedia.org/resource/My_Indo_Airlines","My Indo Airlines","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","2Y",
"http://dbpedia.org/resource/NAM_Air","NAM Air","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","IN",
"http://dbpedia.org/resource/Nusantara_Buana_Air","Nusantara Buana Air","Indonesia","http://dbpedia.org/resource/Aceh","Aceh",,
"http://dbpedia.org/resource/Nusantara_Buana_Air","Nusantara Buana Air","Indonesia","http://dbpedia.org/resource/Medan","Medan",,
"http://dbpedia.org/resource/Nusantara_Buana_Air","Nusantara Buana Air","Indonesia","http://dbpedia.org/resource/Soewondo_Air_Force_Base","Soewondo Air Force Base",,
